ID_node;Longitude;Latitude;name
1098;112.723;-7.208;Jawa Timur
1099;116.708;-8.421;Nusa Tenggara Barat
1100;116.398;-8.228;Nusa Tenggara Barat
1101;124.926;1.494;Sulawesi Utara
1102;124.855;1.456;Sulawesi Utara
1103;116.074;-8.658;Nusa Tenggara Barat
1104;116.077;-8.599;Nusa Tenggara Barat
1105;116.29;-8.813;Nusa Tenggara Barat
1106;116.079;-8.629;Nusa Tenggara Barat
1107;116.292;-8.813;Nusa Tenggara Barat
1108;116.524;-8.632;Nusa Tenggara Barat
1109;116.525;-8.632;Nusa Tenggara Barat
1110;116.63;-8.544;Nusa Tenggara Barat
1111;116.306;-8.889;Nusa Tenggara Barat
1112;116.291;-8.814;Nusa Tenggara Barat
1113;116.204;-8.699;Nusa Tenggara Barat
1114;116.309;-8.62;Nusa Tenggara Barat
1115;116.087;-8.544;Nusa Tenggara Barat
1116;116.166;-8.592;Nusa Tenggara Barat
1117;116.706;-8.422;Nusa Tenggara Barat
1118;116.629;-8.543;Nusa Tenggara Barat
1119;112.575;-7.179;Jawa Timur
1120;112.613;-7.129;Jawa Timur
1121;112.708;-7.345;Jawa Timur
1123;112.661;-7.168;Jawa Timur
1124;112.685;-7.257;Jawa Timur
1125;112.644;-7.19;Jawa Timur
1126;112.414;-7.142;Jawa Timur
1127;112.635;-7.153;Jawa Timur
1128;112.645;-7.19;Jawa Timur
1129;112.644;-7.191;Jawa Timur
1130;112.637;-7.195;Jawa Timur
1131;112.651;-7.326;Jawa Timur
1133;112.709;-7.348;Jawa Timur
1134;112.707;-7.355;Jawa Timur
1135;112.709;-7.346;Jawa Timur
1136;112.746;-7.342;Jawa Timur
1137;112.706;-7.409;Jawa Timur
1138;112.709;-7.347;Jawa Timur
1140;112.809;-7.309;Jawa Timur
1141;112.769;-7.124;Jawa Timur
1142;112.72;-7.149;Jawa Timur
1143;112.793;-7.057;Jawa Timur
1144;112.771;-7.126;Jawa Timur
1146;113.238;-7.179;Jawa Timur
1147;113.835;-7.008;Jawa Timur
1148;113.239;-7.179;Jawa Timur
1149;112.721;-7.42;Jawa Timur
1150;112.708;-7.412;Jawa Timur
1151;112.783;-7.156;Jawa Timur
1152;112.771;-7.127;Jawa Timur
1153;112.655;-7.183;Jawa Timur
1155;112.619;-7.347;Jawa Timur
1156;112.675;-7.389;Jawa Timur
1157;112.247;-8.143;Jawa Timur
1158;112.443;-8.16;Jawa Timur
1159;112.605;-7.344;Jawa Timur
1160;112.637;-7.196;Jawa Timur
1163;112.343;-7.59;Jawa Timur
1164;112.033;-7.837;Jawa Timur
1166;112.461;-7.468;Jawa Timur
1167;112.612;-7.557;Jawa Timur
1168;112.462;-7.468;Jawa Timur
1169;112.598;-7.324;Jawa Timur
1170;112.596;-7.324;Jawa Timur
1174;112.568;-7.348;Jawa Timur
1175;112.591;-8.02;Jawa Timur
1176;112.444;-8.159;Jawa Timur
1177;112.616;-8.021;Jawa Timur
1179;112.617;-8.021;Jawa Timur
1180;112.576;-7.905;Jawa Timur
1182;112.68;-7.968;Jawa Timur
1184;112.674;-7.844;Jawa Timur
1185;112.675;-7.841;Jawa Timur
1186;112.69;-7.848;Jawa Timur
1187;112.677;-7.842;Jawa Timur
1188;112.776;-7.604;Jawa Timur
1189;112.621;-7.342;Jawa Timur
1191;112.577;-7.181;Jawa Timur
1192;112.599;-7.324;Jawa Timur
1193;112.618;-7.346;Jawa Timur
1194;112.558;-7.413;Jawa Timur
1196;112.46;-7.469;Jawa Timur
1197;112.617;-7.345;Jawa Timur
1199;111.867;-7.176;Jawa Timur
1202;112.148;-7.124;Jawa Timur
1203;112.033;-6.886;Jawa Timur
1204;111.994;-6.813;Jawa Timur
1206;112.035;-6.888;Jawa Timur
1207;111.549;-7.641;Jawa Timur
1209;111.548;-7.641;Jawa Timur
1210;111.494;-7.87;Jawa Timur
1211;112.032;-7.836;Jawa Timur
1213;112.09;-7.611;Jawa Timur
1216;112.413;-7.142;Jawa Timur
1218;112.434;-6.892;Jawa Timur
1220;112.035;-7.839;Jawa Timur
1221;112.19;-7.288;Jawa Timur
1224;111.893;-6.818;Jawa Timur
1225;111.125;-8.182;Jawa Timur
1226;111.373;-8.256;Jawa Timur
1227;111.113;-8.182;Jawa Timur
1228;111.124;-8.183;Jawa Timur
1229;131.247;-1.021;Papua Barat
1230;131.334;-0.986;Papua Barat
1232;111.112;-8.182;Jawa Timur
1233;112.25;-7.439;Jawa Timur
1234;112.209;-7.539;Jawa Timur
1237;112.016;-7.764;Jawa Timur
1238;112.023;-7.755;Jawa Timur
1240;111.124;-8.182;Jawa Timur
1241;111.917;-6.866;Jawa Timur
1244;112.724;-7.606;Jawa Timur
1245;112.814;-7.628;Jawa Timur
1247;102.485;-3.59;Bengkulu
1248;102.514;-3.526;Bengkulu
1250;112.76;-7.768;Jawa Timur
1251;112.777;-7.604;Jawa Timur
1252;112.896;-7.688;Jawa Timur
1255;112.965;-7.694;Jawa Timur
1258;113.023;-7.654;Jawa Timur
1259;113.426;-7.779;Jawa Timur
1260;113.582;-7.719;Jawa Timur
1261;114.019;-7.717;Jawa Timur
1263;115.015;-8.516;Bali
1264;114.661;-8.364;Bali
1265;113.212;-8.129;Jawa Timur
1266;113.213;-7.764;Jawa Timur
1267;113.253;-7.865;Jawa Timur
1268;113.229;-7.85;Jawa Timur
1269;113.213;-7.766;Jawa Timur
1270;113.426;-7.78;Jawa Timur
1271;113.212;-8.128;Jawa Timur
1272;113.698;-8.194;Jawa Timur
1274;113.313;-7.798;Jawa Timur
1276;113.833;-7.937;Jawa Timur
1277;114.355;-8.188;Jawa Timur
1279;113.699;-8.193;Jawa Timur
1280;113.833;-7.938;Jawa Timur
1282;114.355;-8.19;Jawa Timur
1283;114.356;-8.188;Jawa Timur
1284;114.4;-8.153;Jawa Timur
1285;112.68;-7.969;Jawa Timur
1286;112.76;-7.769;Jawa Timur
1287;104.732;-2.951;Sumatera Selatan
1288;104.767;-2.948;Sumatera Selatan
1290;112.904;-7.687;Jawa Timur
1291;114.164;-8.387;Jawa Timur
1292;114.165;-8.326;Jawa Timur
1293;115.06;-8.136;Bali
1294;114.442;-8.175;Bali
1298;115.182;-8.583;Bali
1299;115.161;-8.258;Bali
1302;115.335;-8.563;Bali
1303;115.187;-8.666;Bali
1305;115.183;-8.583;Bali
1306;115.191;-8.689;Bali
1309;115.335;-8.562;Bali
1310;115.588;-8.448;Bali
1311;115.253;-8.675;Bali
1312;115.211;-8.718;Bali
1316;115.183;-8.743;Bali
1318;115.253;-8.674;Bali
1319;127.371;0.761;Maluku Utara
1320;127.307;0.766;Maluku Utara
1321;115.252;-8.674;Bali
1324;115.186;-8.667;Bali
1325;115.182;-8.745;Bali
1327;115.205;-8.443;Bali
1328;115.242;-8.443;Bali
1329;114.434;-8.166;Bali
1331;115.222;-8.797;Bali
1332;115.182;-8.748;Bali
1333;115.183;-8.751;Bali
1335;119.473;-5.147;Sulawesi Selatan
1336;119.589;-4.802;Sulawesi Selatan
1337;114.853;-8.199;Bali
1339;125.094;1.657;Sulawesi Utara
1340;125.102;1.665;Sulawesi Utara
1341;123.47;0.888;Sulawesi Utara
1342;123.468;0.875;Sulawesi Utara
1343;123.023;0.544;Gorontalo
1344;123.025;0.551;Gorontalo
1345;98.768;2.271;Sumatera Utara
1346;98.663;2.236;Sumatera Utara
1347;119.595;-4.931;Sulawesi Selatan
1348;119.462;-5.231;Sulawesi Selatan
1350;119.625;-4.946;Sulawesi Selatan
1352;119.395;-5.19;Sulawesi Selatan
1353;119.474;-5.462;Sulawesi Selatan
1356;119.446;-5.164;Sulawesi Selatan
1359;119.633;-4.293;Sulawesi Selatan
1360;119.637;-4.022;Sulawesi Selatan
1361;119.753;-3.917;Sulawesi Selatan
1363;119.624;-3.969;Sulawesi Selatan
1364;119.636;-4.022;Sulawesi Selatan
1365;119.589;-4.801;Sulawesi Selatan
1368;119.649;-3.475;Sulawesi Selatan
1370;119.652;-3.48;Sulawesi Selatan
1371;104.006;1.013;Kepulauan Riau
1372;104.035;1.03;Kepulauan Riau
1373;118.96;-3.495;Sulawesi Barat
1374;119.32;-3.402;Sulawesi Barat
1376;119.534;-3.521;Sulawesi Selatan
1379;119.924;-4.351;Sulawesi Selatan
1381;119.784;-5.666;Sulawesi Selatan
1384;120.139;-5.57;Sulawesi Selatan
1386;119.895;-3.072;Sulawesi Selatan
1387;120.073;-4.176;Sulawesi Selatan
1391;120.273;-4.517;Sulawesi Selatan
1393;120.179;-3.024;Sulawesi Selatan
1395;103.931;1.055;Kepulauan Riau
1397;122.013;0.478;Gorontalo
1398;122.886;0.657;Gorontalo
1400;123.127;0.52;Gorontalo
1402;124.604;1.219;Sulawesi Utara
1404;123.256;0.904;Sulawesi Utara
1406;123.996;0.858;Sulawesi Utara
1408;124.293;0.781;Sulawesi Utara
1413;124.48;1.181;Sulawesi Utara
1418;124.822;1.254;Sulawesi Utara
1419;124.852;1.314;Sulawesi Utara
1422;103.903;1.09;Kepulauan Riau
1424;125.112;1.409;Sulawesi Utara
1425;120.651;-1.64;Sulawesi Tengah
1426;120.704;-1.411;Sulawesi Tengah
1427;107.566;-2.892;Kepulauan Bangka Belitung
1428;107.662;-2.772;Kepulauan Bangka Belitung
1429;104.084;1.099;Kepulauan Riau
1430;104.096;1.161;Kepulauan Riau
1431;104.04;1.032;Kepulauan Riau
1432;104.132;1.065;Kepulauan Riau
1433;104.037;1.031;Kepulauan Riau
1434;104.042;1.051;Kepulauan Riau
1435;105.174;-5.185;Lampung
1436;104.932;-5.368;Lampung
1438;119.937;-0.999;Sulawesi Tengah
1439;106.149;-2.078;Kepulauan Bangka Belitung
1440;106.091;-2.102;Kepulauan Bangka Belitung
1441;106.101;-1.902;Kepulauan Bangka Belitung
1442;106.124;-2.078;Kepulauan Bangka Belitung
1443;98.69;3.54;Sumatera Utara
1444;98.505;3.159;Sumatera Utara
1445;106.09;-2.102;Kepulauan Bangka Belitung
1446;106.401;-2.5;Kepulauan Bangka Belitung
1447;104.022;1.114;Kepulauan Riau
1448;104.085;1.098;Kepulauan Riau
1450;104.022;1.179;Kepulauan Riau
1451;104.132;1.046;Kepulauan Riau
1455;104.181;-2.843;Sumatera Selatan
1456;104.738;-2.882;Sumatera Selatan
1457;104.745;-3.033;Sumatera Selatan
1458;104.647;-2.928;Sumatera Selatan
1459;101.317;-0.877;Sumatera Barat
1460;101.541;-0.524;Riau
1461;99.654;2.963;Sumatera Utara
1462;99.808;2.112;Sumatera Utara
1463;104.864;-4.852;Lampung
1464;104.576;-4.833;Lampung
1465;100.754;-0.613;Sumatera Barat
1466;100.77;-0.621;Sumatera Barat
1467;105.35;-5.518;Lampung
1468;105.377;-5.391;Lampung
1469;100.881;0.296;Riau
1470;100.643;-0.253;Sumatera Barat
1471;99.035;1.481;Sumatera Utara
1472;99.3;1.339;Sumatera Utara
1473;99.46;3.343;Sumatera Utara
1474;99.653;2.963;Sumatera Utara
1475;100.277;-0.683;Sumatera Barat
1476;100.433;-0.934;Sumatera Barat
1477;100.378;-0.344;Sumatera Barat
1478;100.642;-0.253;Sumatera Barat
1479;100.115;-0.31;Sumatera Barat
1480;100.276;-0.682;Sumatera Barat
1481;100.116;-0.311;Sumatera Barat
1482;99.828;0.077;Sumatera Barat
1483;104.896;-2.95;Sumatera Selatan
1484;104.871;-2.924;Sumatera Selatan
1485;104.771;-3.004;Sumatera Selatan
1486;104.833;-3.017;Sumatera Selatan
1487;100.753;-0.612;Sumatera Barat
1488;101.316;-0.878;Sumatera Barat
1489;102.103;-1.432;Jambi
1490;103.543;-1.603;Jambi
1491;101.524;0.41;Riau
1492;101.815;0.395;Riau
1493;98.668;3.616;Sumatera Utara
1494;98.594;3.59;Sumatera Utara
1495;96.197;4.109;Aceh
1496;95.963;5.352;Aceh
1497;105.351;-5.518;Lampung
1498;105.626;-5.723;Lampung
1499;105.714;-5.313;Lampung
1502;100.573;-0.404;Sumatera Barat
1503;100.399;-0.451;Sumatera Barat
1504;100.572;-0.404;Sumatera Barat
1505;98.273;3.992;Sumatera Utara
1506;97.943;4.511;Aceh
1507;98.722;3.553;Sumatera Utara
1508;98.783;3.567;Sumatera Utara
1509;99.106;2.964;Sumatera Utara
1510;99.186;2.466;Sumatera Utara
1511;100.351;-0.62;Sumatera Barat
1512;100.352;-0.62;Sumatera Barat
1513;100.351;-0.621;Sumatera Barat
1515;104.646;-2.928;Sumatera Selatan
1518;98.99;2.016;Sumatera Utara
1519;104.245;-3.445;Sumatera Selatan
1520;104.655;-3.207;Sumatera Selatan
1521;98.834;1.692;Sumatera Utara
1522;98.729;1.752;Sumatera Utara
1524;100.128;1.862;Sumatera Utara
1525;122.797;0.85;Gorontalo
1526;122.863;0.778;Gorontalo
1527;99.809;2.111;Sumatera Utara
1530;100.632;-0.793;Sumatera Barat
1531;104.169;-4.107;Sumatera Selatan
1532;104.16;-4.116;Sumatera Selatan
1533;98.835;1.691;Sumatera Utara
1535;114.552;-3.277;Kalimantan Selatan
1536;114.62;-3.23;Kalimantan Selatan
1537;98.34;2.735;Sumatera Utara
1538;98.629;2.533;Sumatera Utara
1539;100.378;-0.942;Sumatera Barat
1542;104.745;-3.034;Sumatera Selatan
1543;100.349;-0.622;Sumatera Barat
1544;100.277;-0.681;Sumatera Barat
1547;98.867;1.739;Sumatera Utara
1548;98.836;1.692;Sumatera Utara
1549;100.632;-0.794;Sumatera Barat
1550;100.474;-0.947;Sumatera Barat
1551;101.525;0.565;Riau
1557;99.165;3.382;Sumatera Utara
1558;99.452;3.347;Sumatera Utara
1559;99.165;3.383;Sumatera Utara
1561;98.63;2.533;Sumatera Utara
1562;98.713;2.687;Sumatera Utara
1563;101.463;0.547;Riau
1565;98.67;3.771;Sumatera Utara
1566;98.667;3.715;Sumatera Utara
1567;104.573;-5.31;Lampung
1568;104.763;-5.314;Lampung
1569;103.752;-2.155;Sumatera Selatan
1571;100.423;-1.071;Sumatera Barat
1572;100.417;-1.031;Sumatera Barat
