ID_line;voltage;Longitude;Latitude;node_start;node_end
655;150;110.93;-7.461;468;648
656;150;110.365;-6.987;291;338
657;150;110.365;-6.987;291;400
658;150;111.346;-6.722;392;458
659;150;111.346;-6.722;392;1022
660;150;111.398;-6.969;458;1022
661;150;112.745;-7.21;1025;1026
662;150;112.746;-7.341;1027;1028
663;275;109.497;0.907;1029;1030
664;150;117.193;-0.583;988;1031
666;150;116.978;-0.456;1033;1034
668;150;110.07;-6.98;288;322
669;150;110.07;-6.98;288;322
670;150;106.984;-6.202;813;948
671;150;112.77;-7.291;1005;1041
672;150;117.106;-0.547;1043;1044
673;150;117.106;-0.547;1031;1044
674;150;117.293;-0.316;987;1048
675;150;108.985;0.316;1049;1050
676;150;112.674;-7.288;761;1052
677;150;108.985;0.316;1049;1053
678;150;116.949;-1.238;1055;1056
680;150;109.206;0.059;1050;1057
681;150;109.328;0;1057;1060
682;150;108.988;0.927;1053;1061
684;150;112.686;-7.257;1063;1064
685;150;108.988;0.927;1053;1065
686;150;117.052;-0.382;1033;1043
687;150;112.688;-7.701;1069;1070
688;150;114.85;-3.466;1071;1072
689;150;115.295;-2.417;1073;1074
690;150;115.328;-2.684;1074;1076
691;150;116.792;-1.166;1077;1078
692;150;112.686;-7.256;1079;1080
693;150;112.707;-7.347;1063;1082
694;150;116.878;-1.149;1044;1078
695;150;111.892;-6.819;1085;1086
696;150;116.878;-1.149;1055;1078
697;150;116.841;-1.262;1055;1090
701;150;112.713;-7.254;1091;1092
715;150;111.908;-6.861;1086;1093
722;150;112.686;-7.256;1079;1096
723;150;112.723;-7.208;1097;1098
727;150;116.398;-8.228;1099;1100
728;150;124.855;1.456;1101;1102
731;150;116.074;-8.658;1103;1104
732;150;116.079;-8.629;1105;1106
733;150;116.292;-8.813;1107;1108
734;150;116.525;-8.632;1109;1110
735;150;116.291;-8.814;1111;1112
736;150;116.204;-8.699;1113;1114
737;150;116.087;-8.544;1115;1116
738;150;116.629;-8.543;1117;1118
739;150;112.575;-7.179;1119;1120
740;150;112.66;-7.167;443;1121
741;150;112.661;-7.168;1123;1124
742;150;112.414;-7.142;1125;1126
743;150;112.635;-7.153;1127;1128
744;150;112.637;-7.195;1129;1130
745;150;112.651;-7.326;1052;1131
746;150;112.707;-7.355;1133;1134
747;150;112.709;-7.346;1135;1136
748;150;112.706;-7.409;1137;1138
749;150;112.746;-7.341;1027;1140
750;150;112.72;-7.149;1141;1142
751;150;112.771;-7.126;1143;1144
752;150;112.793;-7.057;1143;1146
753;150;113.239;-7.179;1147;1148
