ID_node;Longitude;Latitude;ID_line
250;106.857;-6.525;125
251;107.35;-6.865;126
252;107.571;-7.06;126
254;109.133;-7.583;127
257;111.577;-7.149;129
258;111.398;-6.969;129
260;110.411;-7.158;130
261;110.338;-7.032;131
262;110.365;-6.987;131
264;107.537;-7.047;132
266;107.48;-7.026;133
268;107.479;-7.025;134
270;107.475;-7.023;135
272;107.47;-7.02;136
274;107.452;-7.011;137
275;107.445;-7.009;138
278;107.433;-7.003;139
280;107.395;-6.978;140
282;107.368;-6.957;141
284;107.358;-6.938;142
285;107.358;-6.939;143
287;110.33;-7.682;144
295;107.669;-6.869;148
299;110.345;-6.986;150
300;110.263;-6.967;150
301;108.235;-7.403;151
302;107.202;-7.058;151
304;107.592;-6.858;152
307;107.207;-6.454;154
308;107.161;-6.376;154
309;107.35;-6.672;155
314;107.162;-6.378;157
322;110.62;-7.712;161
323;108.361;-7.333;162
324;108.536;-7.386;162
327;110.743;-6.448;164
330;107.425;-6.404;165
333;107.16;-6.273;167
334;107.13;-6.294;167
337;109.001;-6.887;169
339;110.506;-7.312;170
341;110.816;-7.497;171
346;107.239;-6.361;173
347;106.766;-6.865;174
348;106.849;-6.658;174
350;107.16;-6.369;175
351;108.614;-6.771;176
354;108.54;-6.737;177
356;107.613;-6.952;178
357;107.564;-6.915;179
360;107.913;-7.268;180
367;107.499;-6.928;184
371;106.914;-6.441;186
372;106.936;-6.457;186
378;107.782;-6.951;189
380;107.769;-7.036;190
383;107.945;-6.44;192
384;107.662;-6.335;192
387;107.969;-6.276;194
394;106.815;-6.388;197
396;110.07;-6.98;198
398;106.673;-6.741;199
399;108.486;-6.818;200
406;107.36;-6.38;203
407;110.513;-7.037;204
408;110.899;-7.088;204
409;110.997;-7.934;205
410;110.949;-7.804;205
411;110.881;-7.561;206
413;111.041;-8.078;207
415;110.441;-6.993;208
416;110.41;-7.097;208
421;110.709;-7.677;211
428;110.765;-7.623;214
429;111.476;-6.637;215
430;111.346;-6.722;215
431;109.385;-6.914;216
436;107.271;-6.308;218
439;106.545;-7.022;220
442;107.332;-6.379;221
443;107.421;-7.182;222
452;108.542;-6.738;226
453;110.804;-7.614;227
455;111.457;-7.407;228
456;111.014;-7.413;228
459;110.427;-7.05;230
464;110.82;-6.838;232
465;108.235;-7.401;233
466;108.126;-7.635;233
467;110.434;-7.22;234
472;107.407;-6.548;236
473;107.552;-7.114;237
476;109.779;-7.611;238
484;107.317;-6.322;242
486;108.398;-6.699;243
487;106.82;-6.594;244
488;106.644;-6.617;244
489;107.614;-6.952;245
494;107.736;-7.045;247
496;106.953;-6.432;248
499;108.103;-6.834;250
504;107.75;-6.557;252
510;108.721;-6.888;255
512;108.549;-6.711;256
513;106.963;-6.3;257
514;106.984;-6.301;257
515;107.028;-6.3;258
516;107.032;-6.3;258
518;107.035;-6.285;259
519;107;-6.251;260
521;107.038;-6.262;261
524;106.766;-6.866;262
527;106.089;-5.994;264
528;106.045;-5.884;264
535;106.87;-6.109;268
537;106.895;-6.13;269
538;106.866;-6.111;269
539;105.999;-5.982;270
540;105.996;-5.98;270
541;106.791;-6.134;271
542;106.825;-6.125;271
543;105.869;-6.15;272
544;105.941;-6.034;272
549;106.02;-5.989;275
553;106.443;-6.172;277
558;106.835;-6.258;279
560;106.6;-6.317;280
562;106.474;-6.275;281
572;105.985;-5.992;286
574;106.182;-6.09;287
578;106.865;-6.422;289
579;105.962;-6.036;290
581;106.008;-6.002;291
584;106.606;-6.156;292
588;106.794;-6.413;294
589;106.726;-6.171;295
590;106.784;-6.166;295
595;106.104;-5.931;298
598;106.812;-6.199;299
599;106.811;-6.198;300
600;106.798;-6.239;300
602;106.815;-6.41;301
603;106.852;-6.14;302
615;112.674;-7.288;308
616;112.674;-7.281;308
619;106.782;-6.11;310
621;106.787;-6.111;311
624;107.418;-6.428;312
626;106.068;-5.886;313
628;106.328;-6.198;314
643;119.118;-2.492;322
644;119.147;-2.473;322
654;106.74;-6.273;327
655;106.984;-6.202;328
658;106.822;-6.236;329
660;106.881;-6.232;330
667;112.6;-7.369;334
668;112.618;-7.347;334
670;106.286;-6.128;335
676;106.656;-6.22;338
679;106.468;-6.205;340
680;106.498;-6.251;340
683;106.751;-6.124;342
687;106.821;-6.236;344
689;106.915;-6.146;345
695;119.309;-2.078;348
698;110.627;-7.986;349
702;108.787;-7.311;351
703;111.127;-7.433;352
708;108.688;-7.672;354
710;107.709;-7.647;355
718;106.955;-6.118;359
719;110.9;-6.806;360
720;111.052;-6.767;360
721;108.085;-7.06;361
722;108.209;-7.352;361
724;110.482;-7.245;362
725;107.391;-6.52;363
727;110.714;-6.638;364
728;110.741;-6.45;364
729;103.979;1.074;365
730;103.964;1.095;365
731;108.175;-6.792;366
736;108.344;-6.479;368
737;108.485;-6.819;369
752;108.346;-6.479;376
754;108.346;-6.345;377
758;106.984;-6.205;379
766;108.787;-7.312;383
770;109.22;-7.333;385
776;110.84;-7.257;388
777;110.502;-7.216;389
778;110.481;-7.244;389
786;108.495;-6.969;393
794;107.312;-6.163;397
797;107.123;-6.275;399
800;107.817;-6.964;400
801;108.15;-6.824;401
802;108.247;-6.816;401
804;108.243;-6.817;402
810;106.989;-6.159;405
811;108.154;-6.823;406
821;108.133;-6.476;411
826;107.554;-6.899;413
829;107.609;-6.92;415
833;106.864;-6.973;417
837;107.109;-6.273;419
844;107.455;-6.568;422
851;117.293;-0.316;426
852;117.214;-0.524;426
865;110.354;-7.802;433
867;112.772;-7.255;434
868;112.773;-7.231;434
874;110.93;-7.461;437
884;111.461;-6.863;442
887;112.745;-7.21;444
888;112.771;-7.229;444
889;112.746;-7.341;445
890;112.77;-7.292;445
891;109.971;1.314;446
892;109.497;0.907;446
893;117.193;-0.583;447
895;115.008;-3.516;448
896;114.85;-3.466;448
897;117.052;-0.382;449
898;116.978;-0.456;449
905;112.77;-7.291;453
907;117.114;-0.502;454
908;117.106;-0.547;454
912;117.435;0.161;456
913;108.985;0.316;457
914;109.206;0.059;457
916;112.708;-7.346;458
917;108.988;0.927;459
919;116.949;-1.238;460
920;117.135;-0.987;460
921;117.639;4.134;461
922;117.623;4.111;461
923;109.328;0;462
926;109.381;-0.074;463
927;109.497;0.906;464
929;117.676;4.124;465
930;117.68;4.126;465
931;117.663;4.131;466
932;117.679;4.121;466
933;117.661;4.133;467
934;117.662;4.122;467
937;117.655;4.134;469
938;117.657;4.132;469
939;117.653;4.135;470
940;117.653;4.113;470
943;117.652;4.135;472
946;117.666;4.135;473
948;117.657;4.137;474
950;117.658;4.138;475
954;117.659;4.138;477
955;117.653;4.139;478
958;117.654;4.139;479
959;112.714;-7.256;480
960;112.686;-7.257;480
961;109.269;1.343;481
